 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    6 ;   19 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      38.96 ;     229.69 ;
    6 ;   19 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      37.29 ;     229.69 ;
    6 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     122.31 ;     103.74 ;
    6 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     122.31 ;     103.74 ;
    6 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     122.09 ;     103.74 ;
    6 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     122.31 ;     151.42 ;
    6 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     122.31 ;     151.42 ;
    6 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     122.09 ;     151.42 ;
    6 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     121.70 ;     229.69 ;
    6 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     121.59 ;     229.69 ;
    6 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     120.28 ;     229.69 ;
    6 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      73.80 ;     103.74 ;
    6 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      73.80 ;     103.74 ;
    6 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      73.57 ;     103.74 ;
    6 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      73.80 ;     151.42 ;
    6 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      73.80 ;     151.42 ;
    6 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      73.57 ;     151.42 ;
    6 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      73.35 ;     229.69 ;
    6 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      73.35 ;     229.69 ;
    6 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      71.40 ;     229.69 ;
    6 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      85.24 ;     103.74 ;
    6 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      85.24 ;     103.74 ;
    6 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      84.96 ;     103.74 ;
    6 ;   22 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      85.24 ;     151.42 ;
    6 ;   22 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      85.24 ;     151.42 ;
    6 ;   22 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      84.96 ;     151.42 ;
    6 ;   22 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      84.80 ;     229.69 ;
    6 ;   22 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      84.77 ;     229.69 ;
    6 ;   22 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      83.11 ;     229.69 ;
    6 ;   23 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      90.93 ;     103.74 ;
    6 ;   23 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      90.93 ;     103.74 ;
    6 ;   23 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      90.71 ;     103.74 ;
